Scientific Name,Common Name,Species Group,Federal Listing Status
Acanthorutilus handlirschi,Cicek (minnow),Fishes,Endangered
Accipiter fasciatus natalis,Christmas Island goshawk,Birds,Endangered
Accipiter francesii pusillus,Anjouan Island sparrowhawk,Birds,Endangered
Accipiter gentilis laingi,Queen Charlotte goshawk,Birds,Threatened
Accipiter striatus venator,Puerto Rican sharp-shinned hawk,Birds,Endangered
Achatinella spp.,Oahu tree snails,Snails,Endangered
Acinonyx jubatus,Cheetah,Mammals,Endangered
Acipenser brevirostrum,Shortnose sturgeon,Fishes,Endangered
Acipenser medirostris,green sturgeon,Fishes,Threatened
Acipenser mikadoi,Sakhalin sturgeon,Fishes,Endangered
Acipenser naccarii,Adriatic sturgeon,Fishes,Endangered
Acipenser oxyrinchus (=oxyrhynchus) desotoi,Atlantic sturgeon (Gulf subspecies),Fishes,Threatened
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,Fishes,Endangered
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,Fishes,Endangered
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,Fishes,Endangered
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,Fishes,Endangered
Acipenser oxyrinchus oxyrinchus,Atlantic sturgeon,Fishes,Threatened
Acipenser sinensis,Chinese sturgeon,Fishes,Endangered
Acipenser sturio,European sturgeon,Fishes,Endangered
Acipenser transmontanus,White sturgeon,Fishes,Endangered
Acrocephalus familiaris kingi,Nihoa millerbird (old world warbler),Birds,Endangered
Acrocephalus luscinia,Nightingale reed warbler (old world warbler),Birds,Endangered
Acrocephalus percernis aquilonis,Eiao Marquesas reed-Warbler,Birds,Endangered
Acropora cervicornis,Staghorn coral,Corals,Threatened
Acropora globiceps,No common name,Corals,Threatened
Acropora jacquelinae,No common name,Corals,Threatened
Acropora lokani,No common name,Corals,Threatened
Acropora palmata,Elkhorn coral,Corals,Threatened
Acropora pharaonis,No common name,Corals,Threatened
Acropora retusa,No common name,Corals,Threatened
Acropora rudis,No common name,Corals,Threatened
Acropora speciosa,No common name,Corals,Threatened
Acropora tenella,No common name,Corals,Threatened
Addax nasomaculatus,Addax,Mammals,Endangered
Adelocosa anops,Kauai cave wolf or pe'e pe'e maka 'ole spider,Arachnids,Endangered
Aepyceros melampus petersi,Black-faced impala,Mammals,Endangered
Aerodramus vanikorensis bartschi,Mariana gray swiftlet,Birds,Endangered
Agelaius xanthomus,Yellow-shouldered blackbird,Birds,Endangered
Agelastes meleagrides,White-breasted guineafowl,Birds,Threatened
Ailuropoda melanoleuca,Giant panda,Mammals,Endangered
Akialoa stejnegeri,Kauai akialoa (honeycreeper),Birds,Endangered
Alasmidonta atropurpurea,Cumberland elktoe,Clams,Endangered
Alasmidonta heterodon,Dwarf wedgemussel,Clams,Endangered
Alasmidonta raveneliana,Appalachian elktoe,Clams,Endangered
Alauda razae,Raso lark,Birds,Endangered
Alcelaphus buselaphus swaynei,Swayne's hartebeest,Mammals,Endangered
Alcelaphus buselaphus tora,Tora hartebeest,Mammals,Endangered
Alethe choloensis,Thyolo alethe,Birds,Endangered
Alligator mississippiensis,American alligator,Reptiles,Similarity of Appearance to a Threatened Taxon
Alligator sinensis,Chinese alligator,Reptiles,Endangered
Alouatta palliata,Mantled howler monkey,Mammals,Endangered
Alouatta pigra,Black howler monkey,Mammals,Threatened
Amazilia luciae,Honduran emerald hummingbird,Birds,Endangered
Amazona arausiaca,Red-necked parrot,Birds,Endangered
Amazona brasiliensis,Red-tailed parrot,Birds,Endangered
Amazona collaria,Yellow-billed parrot,Birds,Threatened
Amazona guildingii,St Vincent parrot,Birds,Endangered
Amazona imperialis,Imperial parrot,Birds,Endangered
Amazona leucocephala,Bahaman or Cuban parrot,Birds,Endangered
Amazona pretrei pretrei,Red-spectacled parrot,Birds,Endangered
Amazona rhodocorytha,Red-browed parrot,Birds,Endangered
Amazona versicolor,St. Lucia parrot,Birds,Endangered
Amazona vinacea,Vinaceous-breasted parrot,Birds,Endangered
Amazona vittata,Puerto Rican parrot,Birds,Endangered
Amblema neislerii,Fat threeridge (mussel),Clams,Endangered
Amblyopsis rosae,Ozark cavefish,Fishes,Threatened
Ambrysus amargosus,Ash Meadows naucorid,Insects,Threatened
Ambystoma bishopi,Reticulated flatwoods salamander,Amphibians,Endangered
Ambystoma californiense,California tiger Salamander,Amphibians,Endangered
Ambystoma californiense,California tiger Salamander,Amphibians,Endangered
Ambystoma californiense,California tiger Salamander,Amphibians,Threatened
Ambystoma cingulatum,Frosted Flatwoods salamander,Amphibians,Threatened
Ambystoma macrodactylum croceum,Santa Cruz long-toed salamander,Amphibians,Endangered
Ambystoma tigrinum stebbinsi,Sonora tiger Salamander,Amphibians,Endangered
Ameiva polops,St. Croix ground lizard,Reptiles,Endangered
Ammodorcas clarkei,Clark's gazelle,Mammals,Endangered
Ammodramus maritimus mirabilis,Cape Sable seaside sparrow,Birds,Endangered
Ammodramus savannarum floridanus,Florida grasshopper sparrow,Birds,Endangered
Amphispiza belli clementeae,San Clemente sage sparrow,Birds,Threatened
Amytornis goyderi,Eyrean grasswren (flycatcher),Birds,Endangered
Anacropora spinosa,No common name,Corals,Threatened
Anaea troglodyta floridalis,Florida leafwing Butterfly,Insects,Endangered
Anairetes alpinus,Ash-breasted tit-tyrant,Birds,Endangered
Anas aucklandica nesiotis,Campbell Island flightless teal,Birds,Endangered
Anas laysanensis,Laysan duck,Birds,Endangered
Anas wyvilliana,Hawaiian (=koloa) Duck,Birds,Endangered
Anaxyrus californicus,Arroyo (=arroyo southwestern) toad,Amphibians,Endangered
Anaxyrus canorus,Yosemite toad,Amphibians,Threatened
Andrias davidianus (=davidianus d.),Chinese giant salamander,Amphibians,Endangered
Andrias japonicus (=davidianus j.),Japanese giant salamander,Amphibians,Endangered
Anguispira picta,Painted snake coiled forest snail,Snails,Threatened
Anodorhynchus glaucus,Glaucous macaw,Birds,Endangered
Anodorhynchus leari,Indigo macaw,Birds,Endangered
Anolis roosevelti,Culebra Island giant anole,Reptiles,Endangered
Anoxypristis cuspidata,Narrow sawfish,Fishes,Endangered
Antechinomys laniger,Eastern jerboa marsupial,Mammals,Endangered
Antechinus apicalis,Dibbler,Mammals,Endangered
Antilocapra americana peninsularis,Peninsular pronghorn,Mammals,Endangered
Antilocapra americana sonoriensis,Sonoran pronghorn,Mammals,Endangered
Antilocapra americana sonoriensis,Sonoran pronghorn,Mammals,"Experimental Population, Non-Essential"
Antrobia culveri,Tumbling Creek cavesnail,Snails,Endangered
Antrolana lira,Madison Cave isopod,Crustaceans,Threatened
Aonyx congicus (=congica) microdon,Cameroon clawless otter,Mammals,Endangered
Aphelocoma coerulescens,Florida scrub-jay,Birds,Threatened
Aplodontia rufa nigra,Point Arena mountain beaver,Mammals,Endangered
Aplonis pelzelni,Ponape mountain starling,Birds,Endangered
Apodemia mormo langei,Lange's metalmark butterfly,Insects,Endangered
Aproteles bulmerae,Bulmer's fruit bat (=flying fox),Mammals,Endangered
Aquila heliaca adalberti,Spanish imperial eagle,Birds,Endangered
Ara ambiguus,Great green macaw,Birds,Endangered
Ara glaucogularis,Blue-throated macaw,Birds,Endangered
Ara militaris,Military macaw,Birds,Endangered
Aratinga guarouba,Golden parakeet,Birds,Endangered
Arcanator orostruthus,Dappled mountain robin,Birds,Threatened
Arctocephalus townsendi,Guadalupe fur seal,Mammals,Threatened
Ardeotis (=Choriotis) nigriceps,Great Indian bustard,Birds,Endangered
Arkansia wheeleri,Ouachita rock pocketbook,Clams,Endangered
Assiminea pecos,Pecos assiminea snail,Snails,Endangered
Ateles geoffroyi frontatus,Spider monkey,Mammals,Endangered
Ateles geoffroyl panamensis,Spider monkey,Mammals,Endangered
Atelopus varius zeteki,Panamanian golden frog,Amphibians,Endangered
Athearnia anthonyi,Anthony's riversnail,Snails,Endangered
Athearnia anthonyi,Anthony's riversnail,Snails,"Experimental Population, Non-Essential"
Athearnia anthonyi,Anthony's riversnail,Snails,"Experimental Population, Non-Essential"
Atrichornis clamosus,Noisy scrub-bird,Birds,Endangered
Avahi laniger (entire genus),Avahi,Mammals,Endangered
Axis porcinus annamiticus,Indochina hog deer,Mammals,Endangered
Axis porcinus calamianensis,Calamianes (=Philippine) deer,Mammals,Endangered
Axis porcinus kuhli,Kuhl's (=Bawean) deer,Mammals,Endangered
Aythya innotata,Madagascar pochard,Birds,Endangered
Babyrousa babyrussa,Babirusa,Mammals,Endangered
Balaena mysticetus,Bowhead whale,Mammals,Endangered
Balaenoptera borealis,Sei whale,Mammals,Endangered
Balaenoptera musculus,Blue whale,Mammals,Endangered
Balaenoptera physalus,Finback whale,Mammals,Endangered
Batagur baska,River terrapin,Reptiles,Endangered
Batrachoseps aridus,Desert slender salamander,Amphibians,Endangered
Batrisodes texanus,Coffin Cave mold beetle,Insects,Endangered
Batrisodes venyivi,Helotes mold beetle,Insects,Endangered
Bebrornis rodericanus,Rodrigues warbler (old world warbler),Birds,Endangered
Bebrornis sechellensis,Seychelles warbler (old world warbler),Birds,Endangered
Bettongia gaimardi,Gaimard's rat-kangaroo,Mammals,Endangered
Bettongia lesueur,Lesueur's rat-kangaroo,Mammals,Endangered
Bettongia penicillata,Brush-tailed rat-kangaroo,Mammals,Endangered
Bettongia tropica,Queensland rat-kangaroo,Mammals,Endangered
Bison bison athabascae,Wood Bison,Mammals,Threatened
Blastocerus dichotomus,Marsh deer,Mammals,Endangered
Boloria acrocnema,Uncompahgre fritillary butterfly,Insects,Endangered
Bolyeria multocarinata,Round Island bolyeria boa,Reptiles,Endangered
Bombus affinis,Rusty patched bumble bee,Insects,Endangered
Bos gaurus,Seledang,Mammals,Endangered
Bos javanicus,Banteng,Mammals,Endangered
Bos mutus (=grunniens m.),Wild yak,Mammals,Endangered
Bos sauveli,Kouprey,Mammals,Endangered
Brachylagus idahoensis,Columbia Basin Pygmy Rabbit,Mammals,Endangered
Brachylophus fasciatus,Fiji banded iguana,Reptiles,Endangered
Brachylophus vitiensis,Fiji crested iguana,Reptiles,Endangered
Brachyramphus marmoratus,Marbled murrelet,Birds,Threatened
Brachyteles arachnoides,Woolly spider monkey,Mammals,Endangered
Bradypus torquatus,Brazilian three-toed sloth,Mammals,Endangered
Branchinecta conservatio,Conservancy fairy shrimp,Crustaceans,Endangered
Branchinecta longiantenna,Longhorn fairy shrimp,Crustaceans,Endangered
Branchinecta lynchi,Vernal pool fairy shrimp,Crustaceans,Threatened
Branchinecta sandiegonensis,San Diego fairy shrimp,Crustaceans,Endangered
Branta (=Nesochen) sandvicensis,Hawaiian goose,Birds,Endangered
Brychius hungerfordi,Hungerford's crawling water Beetle,Insects,Endangered
Bubalus depressicornis,Lowland anoa,Mammals,Endangered
Bubalus mindorensis,Tamaraw,Mammals,Endangered
Bubalus quarlesi,Mountain anoa,Mammals,Endangered
Buceros (=Rhinoplax) vigil,Helmeted hornbill,Birds,Endangered
Bufo hemiophrys baxteri,Wyoming Toad,Amphibians,Endangered
Bufo houstonensis,Houston toad,Amphibians,Endangered
Bufo periglenes,Monte Verde golden toad,Amphibians,Endangered
Bufo superciliaris,Cameroon toad,Amphibians,Endangered
Burramys parvus,Mountain pygmy possum,Mammals,Endangered
Buteo galapagoensis,Galapagos hawk,Birds,Endangered
Buteo platypterus brunnescens,Puerto Rican broad-winged hawk,Birds,Endangered
Buteo solitarius,Hawaiian (='lo) Hawk,Birds,Endangered
Cacajao spp.,Uakari (all species),Mammals,Endangered
Cacatua alba,White cockatoo,Birds,Threatened
Cacatua haematuropygia,Philippine cockatoo,Birds,Endangered
Cacatua moluccensis,Salmon-crested cockatoo,Birds,Threatened
Cacatua sulphurea,Yellow-crested cockatoo,Birds,Endangered
Caiman crocodilus apaporiensis,Apaporis River caiman,Reptiles,Endangered
Caiman crocodilus crocodilus,Common caiman,Reptiles,Similarity of Appearance to a Threatened Taxon
Caiman crocodilus fuscus (includes Caiman crocodilus chiapasius),Brown Caiman,Reptiles,Similarity of Appearance to a Threatened Taxon
Caiman latirostris,Broad-snouted caiman,Reptiles,Endangered
Caiman latirostris,Broad-snouted caiman,Reptiles,Threatened
Caiman yacare,Yacare Caiman,Reptiles,Threatened
Cairina scutulata,White-winged wood duck,Birds,Endangered
Calidris canutus rufa,Red knot,Birds,Threatened
Callaeas cinerea,Kokako (wattlebird),Birds,Endangered
Callimico goeldii,Goeldi's marmoset,Mammals,Endangered
Callithrix aurita (=jacchus a.),White-eared (=buffy tufted-ear) marmoset,Mammals,Endangered
Callithrix flaviceps,Buff-headed marmoset,Mammals,Endangered
Callophrys mossii bayensis,San Bruno elfin butterfly,Insects,Endangered
Caloprymnus campestris,Desert (=plain) rat-kangaroo,Mammals,Endangered
Camarhynchus pauper,Floreana tree-Finch,Birds,Endangered
Cambarus aculabrum,Cave crayfish,Crustaceans,Endangered
Cambarus callainus,Big Sandy crayfish,Crustaceans,Threatened
Cambarus veteranus,Guyandotte River crayfish,Crustaceans,Endangered
Cambarus zophonastes,Cave crayfish,Crustaceans,Endangered
Camelus bactrianus,Bactrian camel,Mammals,Endangered
Campeloma decampi,Slender campeloma,Snails,Endangered
Campephilus imperialis,Imperial woodpecker,Birds,Endangered
Campephilus principalis,Ivory-billed woodpecker,Birds,Endangered
Canis lupus,Gray wolf,Mammals,Endangered
Canis lupus,Gray wolf,Mammals,Threatened
Canis lupus baileyi,Mexican wolf,Mammals,Endangered
